E-VBM_eV,comp1_total_perfu,modelc_total_perfu
1.480,0.0000,0.0000
1.490,0.0000,0.0000
1.500,0.0000,0.0000
1.510,0.0000,0.0000
1.520,0.0000,0.0000
1.530,0.0000,0.0000
1.540,0.0000,0.0000
1.550,0.0000,0.0000
1.560,0.0000,0.0000
1.570,0.0000,0.0000
1.580,0.0000,0.0000
1.590,0.0000,0.0000
1.600,0.0000,0.0000
1.610,0.0000,0.0000
1.620,0.0000,0.0000
1.630,0.0000,0.0000
1.640,0.0000,0.0000
1.650,0.0000,0.0000
1.660,0.0000,0.0000
1.670,0.0000,0.0000
1.680,0.0000,0.0000
1.690,0.0000,0.0000
1.700,0.0000,0.0000
1.710,0.0000,0.0000
1.720,0.0000,0.0000
1.730,0.0000,0.0000
1.740,0.0000,0.0000
1.750,0.0000,0.0000
1.760,0.0000,0.0000
1.770,0.0000,0.0000
1.780,0.0000,0.0000
1.790,0.0000,0.0000
1.800,0.0000,0.0000
1.810,0.0000,0.0000
1.820,0.0000,0.0000
1.830,0.0000,0.0000
1.840,0.0000,0.0000
1.850,0.0000,0.0000
1.860,0.0000,0.0000
1.870,0.0000,0.0000
1.880,0.0000,0.0000
1.890,0.0000,0.0000
1.900,0.0000,0.0000
1.910,0.0000,0.0000
1.920,0.0000,0.0000
1.930,0.0000,0.0000
1.940,0.0000,0.0000
1.950,0.0000,0.0000
1.960,0.0000,0.0000
1.970,0.0000,0.0000
1.980,0.0000,0.0000
1.990,0.0000,0.0000
2.000,0.0000,0.0000
2.010,0.0000,0.0000
2.020,0.0000,0.0000
2.030,0.0000,0.0000
2.040,0.0002,0.0000
2.050,0.0018,0.0000
2.060,0.0072,0.0001
2.070,0.0182,0.0007
2.080,0.0349,0.0032
2.090,0.0567,0.0112
2.100,0.0804,0.0277
2.110,0.1005,0.0517
2.120,0.1150,0.0782
2.130,0.1253,0.1031
2.140,0.1341,0.1257
2.150,0.1406,0.1458
2.160,0.1463,0.1635
2.170,0.1535,0.1788
2.180,0.1631,0.1917
2.190,0.1733,0.2021
2.200,0.1835,0.2101
2.210,0.1938,0.2108
2.220,0.2042,0.1966
2.230,0.2148,0.1768
2.240,0.2259,0.1683
2.250,0.2376,0.1701
2.260,0.2493,0.1743
2.270,0.2602,0.1786
2.280,0.2695,0.1829
2.290,0.2780,0.1872
2.300,0.2867,0.1915
2.310,0.2942,0.1959
2.320,0.3008,0.2007
2.330,0.3100,0.2067
2.340,0.3202,0.2147
