E_minus_VBM,Li,P,S,Cl,B,O
6.5200,43.2135,1.9074,7.8397,2.2652,0.9240,0.4798
6.5400,41.2996,1.8055,7.4621,2.1604,0.8854,0.4526
6.5600,38.7090,1.6773,6.9702,2.0210,0.8315,0.4188
6.5800,35.3271,1.5185,6.3435,1.8411,0.7599,0.3775
6.6000,31.1245,1.3284,5.5761,1.6194,0.6703,0.3289
6.6200,26.2220,1.1122,4.6893,1.3624,0.5651,0.2742
6.6400,20.9215,0.8827,3.7359,1.0856,0.4511,0.2168
6.6600,15.6635,0.6579,2.7937,0.8119,0.3379,0.1611
6.6800,10.9135,0.4567,1.9447,0.5652,0.2355,0.1115
6.7000,7.0265,0.2931,1.2511,0.3636,0.1517,0.0714
6.7200,4.1557,0.1729,0.7395,0.2149,0.0897,0.0420
6.7400,2.2468,0.0933,0.3996,0.1161,0.0485,0.0226
6.7600,1.1061,0.0458,0.1966,0.0572,0.0239,0.0111
6.7800,0.4941,0.0204,0.0878,0.0255,0.0107,0.0049
6.8000,0.1997,0.0083,0.0355,0.0103,0.0043,0.0020
6.8200,0.0727,0.0030,0.0129,0.0038,0.0016,0.0007
6.8400,0.0236,0.0010,0.0042,0.0012,0.0005,0.0002
6.8600,0.0067,0.0003,0.0012,0.0003,0.0001,0.0001
6.8800,0.0014,0.0001,0.0003,0.0001,0.0000,0.0000
6.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
